Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DST
1,825802622,timwoodbury10,0,229.08,WR J.J. Nelson DST Cardinals  FLEX Kareem Hunt QB Tom Brady TE Rob Gronkowski WR Keenan Allen WR Jermaine Kearse RB C.J. Anderson RB Ty Montgomery,Tom Brady,C.J. Anderson,TY Montgomery,J.J. Nelson,Keenan Allen,Jermaine Kearse,Rob Gronkowski,Kareem Hunt,Cardinals
2,826093825,brentkrug,0,224.68,DST Ravens  WR Allen Hurns QB Tom Brady FLEX Chris Hogan TE Rob Gronkowski WR Keenan Allen RB C.J. Anderson RB Ty Montgomery WR Davante Adams,Tom Brady,C.J. Anderson,TY Montgomery,Allen Hurns,Keenan Allen,Davante Adams,Rob Gronkowski,Chris Hogan,Ravens
3,820403501,CONDIA (2/150),0,222.48,WR J.J. Nelson RB Kareem Hunt QB Tom Brady TE Rob Gronkowski WR Brandon Coleman WR Keenan Allen DST Raiders  FLEX C.J. Anderson RB Todd Gurley II,Tom Brady,Kareem Hunt,Todd Gurley II,J.J. Nelson,Brandon Coleman,Keenan Allen,Rob Gronkowski,C.J. Anderson,Raiders
4,827631199,anilprao88 (80/150),0,220.18,WR J.J. Nelson QB Tom Brady TE Rob Gronkowski WR Brandon Coleman WR Mike Evans DST Buccaneers  FLEX Jarvis Landry RB Melvin Gordon RB C.J. Anderson,Tom Brady,Melvin Gordon,C.J. Anderson,J.J. Nelson,Brandon Coleman,Mike Evans,Rob Gronkowski,Jarvis Landry,Buccaneers
5,824604255,zexyworlock (10/33),0,219.58,DST Ravens  WR J.J. Nelson RB Kareem Hunt QB Tom Brady FLEX James White TE Rob Gronkowski WR Kenny Stills WR Michael Crabtree RB Ty Montgomery,Tom Brady,Kareem Hunt,TY Montgomery,J.J. Nelson,Kenny Stills,Michael Crabtree,Rob Gronkowski,James White,Ravens
5,828312589,StraightFizz2014 (2/4),0,219.58,DST Ravens  TE Travis Kelce QB Tom Brady WR Jarvis Landry WR Keenan Allen RB C.J. Anderson WR Demaryius Thomas RB Ty Montgomery FLEX Davante Adams,Tom Brady,C.J. Anderson,TY Montgomery,Jarvis Landry,Keenan Allen,Demaryius Thomas,Travis Kelce,Davante Adams,Ravens
7,828278952,GrindersCam (60/125),0,219.08,DST Ravens  WR J.J. Nelson QB Tom Brady WR Chris Hogan TE Rob Gronkowski WR Kendall Wright RB Jay Ajayi FLEX Michael Crabtree RB C.J. Anderson,Tom Brady,Jay Ajayi,C.J. Anderson,J.J. Nelson,Chris Hogan,Keenan Allen,Rob Gronkowski,Michael Crabtree,Ravens
8,825147305,MephistoIi (3/4),0,217.98,FLEX Travis Kelce QB Tom Brady RB James White WR Chris Hogan TE Rob Gronkowski DST Buccaneers  WR Keenan Allen RB Ty Montgomery WR Davante Adams,Tom Brady,James White,TY Montgomery,Chris Hogan,Chris Hogan,Keenan Allen,Rob Gronkowski,Travis Kelce,Buccaneers
9,826008926,meaganjoy (59/150),0,216.58,DST Ravens  WR Alshon Jeffery QB Tom Brady TE Rob Gronkowski WR Brandon Coleman WR Martavis Bryant RB Jay Ajayi RB C.J. Anderson FLEX Ty Montgomery,Tom Brady,Jay Ajayi,C.J. Anderson,Alshon Jeffery,Brandon Coleman,Martavis Bryant,Rob Gronkowski,TY Montgomery,Ravens
10,821729605,kingpea85,0,216.48,WR J.J. Nelson WR Marqise Lee QB Tom Brady RB James White TE Rob Gronkowski WR Mike Evans DST Buccaneers  FLEX Todd Gurley II RB Ty Montgomery,Tom Brady,James White,TY Montgomery,J.J. Nelson,Marquise Lee,Mike Evans,Rob Gronkowski,Todd Gurley II,Buccaneers
